Time;Moisture;temperature
2014.03.20 19:29:11;319;6.0
2014.03.20 19:29:16;320;6.0
2014.03.20 19:29:21;321;6.0
2014.03.20 19:29:26;320;6.0
2014.03.20 19:29:31;319;6.0
2014.03.20 19:29:36;321;6.0
2014.03.20 19:29:41;322;6.0
2014.03.20 19:29:46;323;6.0
2014.03.20 19:29:51;321;6.0
2014.03.20 19:29:56;323;6.0
2014.03.20 19:30:01;324;6.0
2014.03.20 19:30:06;323;6.0
2014.03.20 19:30:11;326;6.0
2014.03.20 19:30:16;324;6.0
2014.03.20 19:30:21;325;6.0
2014.03.20 19:30:26;325;6.0
2014.03.20 19:30:31;324;6.0
2014.03.20 19:30:36;344;6.0
2014.03.20 19:30:41;377;6.0
2014.03.20 19:30:46;381;6.0
2014.03.20 19:30:51;367;6.0
2014.03.20 19:30:56;361;6.0
2014.03.20 19:31:01;360;6.0
2014.03.20 19:31:06;365;6.0
2014.03.20 19:31:11;364;6.0
2014.03.20 19:31:16;368;6.0
2014.03.20 19:31:21;369;6.0
2014.03.20 19:31:26;368;6.0
2014.03.20 19:31:31;367;6.0
2014.03.20 19:31:36;368;6.0
2014.03.20 19:31:41;367;6.0
2014.03.20 19:31:46;366;6.0
2014.03.20 19:31:51;367;6.0
2014.03.20 19:31:56;366;6.0
2014.03.20 19:32:01;367;6.0
2014.03.20 19:32:06;365;6.0
2014.03.20 19:32:11;366;6.0
2014.03.20 19:32:16;367;6.0
2014.03.20 19:32:21;365;6.0
2014.03.20 19:32:26;366;6.0
2014.03.20 19:32:31;365;6.0
2014.03.20 19:32:36;366;6.0
2014.03.20 19:32:41;365;6.0
2014.03.20 19:32:47;364;6.0
2014.03.20 19:32:52;365;6.0
2014.03.20 19:32:57;364;6.0
2014.03.20 19:33:02;363;6.0
2014.03.20 19:33:07;364;6.0
2014.03.20 19:33:12;363;6.0
2014.03.20 19:33:17;365;6.0
2014.03.20 19:33:22;364;6.0
2014.03.20 19:33:27;363;6.0
2014.03.20 19:33:32;364;6.0
2014.03.20 19:33:37;363;6.0
2014.03.20 19:33:42;366;6.0
2014.03.20 19:33:47;365;6.0
2014.03.20 19:33:52;366;6.0
2014.03.20 19:33:57;388;6.0
2014.03.20 19:34:02;387;6.0
2014.03.20 19:34:07;386;6.0
2014.03.20 19:34:12;385;6.0
2014.03.20 19:34:17;386;6.0
2014.03.20 19:34:22;405;6.0
2014.03.20 19:34:27;399;6.0
2014.03.20 19:34:32;400;6.0
2014.03.20 19:34:37;411;6.0
2014.03.20 19:34:42;409;6.0
2014.03.20 19:34:47;407;6.0
2014.03.20 19:34:52;405;6.0
2014.03.20 19:34:57;406;6.0
2014.03.20 19:35:02;407;6.0
2014.03.20 19:35:07;403;6.0
2014.03.20 19:35:12;401;6.0
2014.03.20 19:35:17;400;6.0
2014.03.20 19:35:22;399;6.0
2014.03.20 19:35:27;398;6.0
2014.03.20 19:35:32;399;6.0
2014.03.20 19:35:37;400;6.0
2014.03.20 19:35:42;401;6.0
2014.03.20 19:35:47;398;6.0
2014.03.20 19:35:52;399;6.0
2014.03.20 19:35:57;398;6.0
2014.03.20 19:36:02;400;6.0
2014.03.20 19:36:07;397;6.0
2014.03.20 19:36:12;395;6.0
2014.03.20 19:36:17;394;6.0
2014.03.20 19:36:22;393;6.0
2014.03.20 19:36:27;396;6.0
2014.03.20 19:36:32;395;6.0
2014.03.20 19:36:37;396;6.0
2014.03.20 19:36:42;395;6.0
2014.03.20 19:36:47;394;6.0
2014.03.20 19:36:52;395;6.0
2014.03.20 19:36:57;393;6.0
2014.03.20 19:37:02;394;6.0
2014.03.20 19:37:07;392;6.0
2014.03.20 19:37:12;393;6.0
2014.03.20 19:37:17;392;6.0
2014.03.20 19:37:22;394;7.0
2014.03.20 19:37:27;404;7.0
2014.03.20 19:37:32;405;6.0
2014.03.20 19:37:37;406;7.0
2014.03.20 19:37:42;407;6.0
2014.03.20 19:37:47;409;6.0
2014.03.20 19:37:52;410;6.0
2014.03.20 19:37:57;409;6.0
2014.03.20 19:38:02;412;7.0
2014.03.20 19:38:07;413;6.0
2014.03.20 19:38:12;414;6.0
2014.03.20 19:38:17;414;6.0
2014.03.20 19:38:22;416;6.0
2014.03.20 19:38:27;418;6.0
2014.03.20 19:38:32;420;6.0
2014.03.20 19:38:37;424;6.0
2014.03.20 19:38:42;425;6.0
2014.03.20 19:38:47;424;6.0
2014.03.20 19:38:53;424;6.0
2014.03.20 19:38:58;424;7.0
2014.03.20 19:39:03;425;7.0
2014.03.20 19:39:08;424;7.0
2014.03.20 19:39:13;423;6.0
2014.03.20 19:39:18;424;6.0
2014.03.20 19:39:23;423;6.0
2014.03.20 19:39:28;423;7.0
2014.03.20 19:39:33;422;6.0
2014.03.20 19:39:38;422;6.0
2014.03.20 19:39:43;421;6.0
2014.03.20 19:39:48;420;6.0
2014.03.20 19:39:53;419;6.0
2014.03.20 19:39:58;421;7.0
2014.03.20 19:40:03;419;6.0
2014.03.20 19:40:08;420;6.0
2014.03.20 19:40:13;421;6.0
2014.03.20 19:40:18;422;6.0
2014.03.20 19:40:23;421;6.0
2014.03.20 19:40:28;422;6.0
2014.03.20 19:40:33;421;6.0
2014.03.20 19:40:38;422;6.0
2014.03.20 19:40:43;423;6.0
2014.03.20 19:40:48;424;7.0
2014.03.20 19:40:53;424;6.0
2014.03.20 19:40:58;424;6.0
2014.03.20 19:41:03;426;7.0
2014.03.20 19:41:08;425;6.0
2014.03.20 19:41:13;426;7.0
2014.03.20 19:41:18;427;7.0
2014.03.20 19:41:23;426;7.0
2014.03.20 19:41:28;427;6.0
2014.03.20 19:41:33;426;6.0
2014.03.20 19:41:38;428;6.0
2014.03.20 19:41:43;425;6.0
2014.03.20 19:41:48;428;6.0
2014.03.20 19:41:53;427;6.0
2014.03.20 19:41:58;429;6.0
2014.03.20 19:42:03;430;7.0
2014.03.20 19:42:08;428;6.0
2014.03.20 19:42:13;429;7.0
2014.03.20 19:42:18;430;7.0
2014.03.20 19:42:23;431;7.0
2014.03.20 19:42:28;432;7.0
2014.03.20 19:42:33;431;6.0
2014.03.20 19:42:38;433;6.0
2014.03.20 19:42:43;432;6.0
2014.03.20 19:42:48;430;6.0
2014.03.20 19:42:53;433;7.0
2014.03.20 19:42:58;435;6.0
2014.03.20 19:43:03;436;7.0
2014.03.20 19:43:08;435;7.0
2014.03.20 19:43:13;436;7.0
2014.03.20 19:43:18;434;7.0
2014.03.20 19:43:23;432;7.0
2014.03.20 19:43:28;433;6.0
2014.03.20 19:43:33;431;6.0
2014.03.20 19:43:38;430;6.0
2014.03.20 19:43:43;429;6.0
2014.03.20 19:43:48;430;7.0
2014.03.20 19:43:53;429;7.0
2014.03.20 19:43:58;430;7.0
